ind,pop,taxon
Battle-20-05-02,Battle-20-05-,2
Battle-20-10-01,Battle-20-10-,1
Battle-20-10-02,Battle-20-10-,2
Battle-20-10-03,Battle-20-10-,3
Battle-20-10-08,Battle-20-10-,8
Battle-20-11-02,Battle-20-11-,2
Battle-20-12-04,Battle-20-12-,4
Battle-20-12-05b,Battle-20-12-0,b
Battle-20-12-05,Battle-20-12-,5
Battle-20-12-06,Battle-20-12-,6
Battle-20-14-02,Battle-20-14-,2
Battle-20-14-03,Battle-20-14-,3
Battle-20-14-04,Battle-20-14-,4
Battle-20-14-05,Battle-20-14-,5
Battle-20-14-06,Battle-20-14-,6
Battle-20-14-07,Battle-20-14-,7
Battle-20-14-09,Battle-20-14-,9
Battle-20-17-02,Battle-20-17-,2
Battle-20-19-01,Battle-20-19-,1
BCR-L-20-01,BCR-L-20-,1
BCR-L-20-02,BCR-L-20-,2
BCR-L-20-03,BCR-L-20-,3
BCR-L-20-04,BCR-L-20-,4
BCR-L-20-05,BCR-L-20-,5
BCR-L-20-06,BCR-L-20-,6
BCR-L-20-07,BCR-L-20-,7
BHP-L-20-01,BHP-L-20-,1
BHP-L-20-02,BHP-L-20-,2
BHP-L-20-03,BHP-L-20-,3
BHP-L-20-04,BHP-L-20-,4
BNP-20-09-01,BNP-20-09-,1
BST-21-01-01,BST-21-01-,1
BST-21-01-02,BST-21-01-,2
BST-21-01-03,BST-21-01-,3
BST-21-01-04,BST-21-01-,4
BST-21-01-05,BST-21-01-,5
BST-21-01-06,BST-21-01-,6
BST-21-01-07,BST-21-01-,7
BST-21-01-08,BST-21-01-,8
BST-21-01-100,BST-21-01-1,0
BST-21-01-101,BST-21-01-1,1
BST-21-01-102,BST-21-01-1,2
BST-21-01-103,BST-21-01-1,3
BST-21-01-105,BST-21-01-1,5
BST-21-01-109,BST-21-01-1,9
BST-21-01-10,BST-21-01-,0
BST-21-01-110,BST-21-01-1,0
BST-21-01-111,BST-21-01-1,1
BST-21-01-115,BST-21-01-1,5
BST-21-01-116,BST-21-01-1,6
BST-21-01-119,BST-21-01-1,9
BST-21-01-11,BST-21-01-,1
BST-21-01-120,BST-21-01-1,0
BST-21-01-121,BST-21-01-1,1
BST-21-01-122,BST-21-01-1,2
BST-21-01-123,BST-21-01-1,3
BST-21-01-124,BST-21-01-1,4
BST-21-01-125,BST-21-01-1,5
BST-21-01-126,BST-21-01-1,6
BST-21-01-127,BST-21-01-1,7
BST-21-01-131,BST-21-01-1,1
BST-21-01-133,BST-21-01-1,3
BST-21-01-134,BST-21-01-1,4
BST-21-01-135,BST-21-01-1,5
BST-21-01-136,BST-21-01-1,6
BST-21-01-138,BST-21-01-1,8
BST-21-01-139,BST-21-01-1,9
BST-21-01-13,BST-21-01-,3
BST-21-01-15,BST-21-01-,5
BST-21-01-17,BST-21-01-,7
BST-21-01-18,BST-21-01-,8
BST-21-01-19,BST-21-01-,9
BST-21-01-20,BST-21-01-,0
BST-21-01-22,BST-21-01-,2
BST-21-01-24,BST-21-01-,4
BST-21-01-25,BST-21-01-,5
BST-21-01-26,BST-21-01-,6
BST-21-01-27,BST-21-01-,7
BST-21-01-28,BST-21-01-,8
BST-21-01-29,BST-21-01-,9
BST-21-01-30,BST-21-01-,0
BST-21-01-31,BST-21-01-,1
BST-21-01-32,BST-21-01-,2
BST-21-01-34,BST-21-01-,4
BST-21-01-35,BST-21-01-,5
BST-21-01-36,BST-21-01-,6
BST-21-01-39,BST-21-01-,9
BST-21-01-41,BST-21-01-,1
BST-21-01-43,BST-21-01-,3
BST-21-01-44,BST-21-01-,4
BST-21-01-45,BST-21-01-,5
BST-21-01-46,BST-21-01-,6
BST-21-01-47,BST-21-01-,7
BST-21-01-48,BST-21-01-,8
BST-21-01-49,BST-21-01-,9
BST-21-01-50,BST-21-01-,0
BST-21-01-51,BST-21-01-,1
BST-21-01-53,BST-21-01-,3
BST-21-01-61,BST-21-01-,1
BST-21-01-62,BST-21-01-,2
BST-21-01-63,BST-21-01-,3
BST-21-01-64,BST-21-01-,4
BST-21-01-65,BST-21-01-,5
BST-21-01-66,BST-21-01-,6
BST-21-01-68,BST-21-01-,8
BST-21-01-70,BST-21-01-,0
BST-21-01-72,BST-21-01-,2
BST-21-01-74,BST-21-01-,4
BST-21-01-75,BST-21-01-,5
BST-21-01-76,BST-21-01-,6
BST-21-01-77,BST-21-01-,7
BST-21-01-79,BST-21-01-,9
BST-21-01-80,BST-21-01-,0
BST-21-01-81,BST-21-01-,1
BST-21-01-82,BST-21-01-,2
BST-21-01-83,BST-21-01-,3
BST-21-01-84,BST-21-01-,4
BST-21-01-85,BST-21-01-,5
BST-21-01-86,BST-21-01-,6
BST-21-01-87,BST-21-01-,7
BST-21-01-88a,BST-21-01-8,a
BST-21-01-88b,BST-21-01-8,b
BST-21-01-89,BST-21-01-,9
BST-21-01-90,BST-21-01-,0
BST-21-01-91,BST-21-01-,1
BST-21-01-92,BST-21-01-,2
BST-21-01-94,BST-21-01-,4
BST-21-01-96,BST-21-01-,6
BST-21-01-97,BST-21-01-,7
BST-21-01-98,BST-21-01-,8
BST-21-01-99,BST-21-01-,9
BST-21-03-02,BST-21-03-,2
BST-21-03-06,BST-21-03-,6
BST-21-03-13,BST-21-03-,3
BST-21-03-14,BST-21-03-,4
BST-21-03-16,BST-21-03-,6
BST-21-03-17,BST-21-03-,7
BST-21-03-19,BST-21-03-,9
BST-21-03-20,BST-21-03-,0
BST-21-03-21,BST-21-03-,1
BST-21-03-24,BST-21-03-,4
BST-21-03-25,BST-21-03-,5
BST-21-03-26,BST-21-03-,6
BST-21-03-27,BST-21-03-,7
BST-21-03-28,BST-21-03-,8
